Timestamp,What is your major?,What year are you?,What are you using this space today for? (Select all that apply),"Is this your preferred place on campus? If not, what place do you usually go to?",How would you describe this area?,Please elaborate on why you chose your previous answer. I.e. If you think it needs improvement what could be improved or what about the space works/doesn't work.,What is your favorite part about the terrace?,How important is green space on campus to you? (Green space is defined as any outdoor areas that “contain a significant amount of vegetation” &  “provides aesthetic environments for recreation and leisure”),How far did you travel to get here? How frequently do you come here? 
3/1/2024 11:10:29,Computer Engineering ,Freshman,"Waiting for class to start, Doing work/meetings",Cse building,Adequate area,"I only come here to do short-term work, so it provides for my needs adequately ",Proximity/convenience,Important,Once a week or two
3/1/2024 11:18:54,Human bio,Senior,Waiting for class to start,Yes,Adequate area,Love it ,"Green space (plants, greenery)",Very Important,15 mins
3/1/2024 11:20:41,Psychology BS,Senior,"Doing work/meetings, Resting/relax, I always come here when the sun is out and the weather is nice",Yes,Provides what it needs to,I think it’s decently a nice location and view but the seeting areas are often dirty and you can’t charge your devices ,Ocean view,Important,"I walked from my class in Muir, but I live at ERC so I usually walk from there. I come here whenever the weather is nice."
3/1/2024 11:26:14,Econ,Junior,"Doing work/meetings, Resting/relax, Lunch/eating",Yes,Adequate area,Great tables ,Ocean view,Very Important,20 min
3/1/2024 11:27:02,Computer Science,Freshman,"Waiting for class to start, Doing work/meetings",Geisel/CSE Basement,Adequate area,"good, comfortable space w/relaxing environment",Ocean view,Very Important,~10 mins walk (from Revelle); about once a week
3/1/2024 11:27:03,Sociology ,Senior,"Waiting for class to start, Doing work/meetings, Resting/relax",Yes,Provides what it needs to,Love this space ,Ocean view,Very Important,6/7 days
3/1/2024 11:34:50,Computer Science,Freshman,"Waiting for class to start, Resting/relax",Geisel/Price Center/Galbraith,Provides what it needs to,It’s a good resting spot.,Proximity/convenience,Important,It’s only a 5-8 minute walk from my usual spaces. I come up here to the balcony rarely.
3/1/2024 11:37:58,Data Science,Senior,Resting/relax,Commuter Lounge Sixth,Adequate area,"Nice amount of plants, quiet, and nice view ","Green space (plants, greenery)",Very Important,Came from RIMAC. Not very often
3/1/2024 11:41:22,Communication ,Junior,"Resting/relax, Lunch/eating, Socializing",Yes,Could use improvement,Too many bees and not enough chairs ,Ocean view,Somewhat Important,Like a minute away
3/1/2024 11:43:34,Communication ,Junior,"Resting/relax, Lunch/eating",Geisel,Adequate area,"It’s peaceful! I like that there’s a lot of plants, but I could always do with more.",Ocean view,Very Important,Traveled from Revelle! It’s my first time up here.
3/1/2024 15:03:55,General biology,Freshman,"Doing work/meetings, Resting/relax",Yes,Adequate area,"This area has a nice ambience with the ocean view, direct sunlight, and greenery. It is also well equipped with furniture for sitting and relaxing",Ocean view,Very Important,"I come here 2-3 times a week, it is a 15 minute walk from my dorm."
3/1/2024 15:03:58,Urban Studies and Planning,Freshman,"Resting/relax, Sun basking",Yes,Adequate area,I think it is a nice area but I wish there were more cushion seats ,Nice chairs and cushions,Very Important,"From Seventh College, and probably 2-3 times a quarter"
3/1/2024 15:04:01,linguistics,Junior,"Doing work/meetings, Resting/relax",Yes,Could use improvement,"Love this balcony, but it could use more shady spaces; it's hard to see my computer screen sometimes.",both the ocean view and the sun!,Very Important,15 minutes; I come almost every weekday.
3/1/2024 15:05:32,Computer Science,Sophomore,"Lunch/eating, Socializing",Yes,Adequate area,More nice couches,Ocean view,Very Important,10min
3/1/2024 15:05:41,Computer Science,Sophomore,"Lunch/eating, Socializing",usually dorm,Adequate area,maybe a bit more clean (one of the cushions has white spots) but it's really relaxing here :D,Ocean view,Very Important,"i'm from revelle, if i had classes in sixth around my lunch break i'd come every other day"
3/1/2024 15:07:46,Economics ,Junior,Socializing,Yes,Adequate area,It’s a great place to socialize because of its view ,"Green space (plants, greenery)",Very Important,15 min
3/1/2024 15:13:20,Human Biology,Freshman,"Doing work/meetings, Socializing",Yes,Adequate area,I think the only things that would make it better is if it had outlets,Ocean view,Very Important,"Not far, I come here a couple times a week."
3/1/2024 15:14:38,International Studies- Political Science ,Freshman,"Doing work/meetings, Resting/relax",Geisel Library ,Could use improvement,"Alot of people come to this space to study, so having outdoor outlets would be useful.",Ocean view,Very Important,I had a class in mosaic so a few feet. I come here when I feel overwhelmed so not very often.
3/1/2024 15:15:53,Sociology ,Senior,"Waiting for class to start, Resting/relax, Sunbathing ",Yes,Provides what it needs to,"It’s great for sitting in the sun and it has a great view of the ocean. I might suggest having more seating, as many students come here to sit. ",Ocean view,Very Important,"Not far, as my next class is in this same building "
3/1/2024 15:16:20,Psychology,Freshman,"Resting/relax, Socializing",Yes,Provides what it needs to,great spot to sit,Ocean view,Very Important,"from sixth market, once a week"
3/1/2024 15:16:21,Cognitive and Behavioral Neuroscience ,Freshman,"Resting/relax, Socializing",Yes,Adequate area,Nice view and plenty of seating,Ocean view,Very Important,"From ERC, I come here between classes"
3/1/2024 15:17:22,International business,Freshman,"Doing work/meetings, Resting/relax, Lunch/eating",Yes,Provides what it needs to,A nice area to relax while enjoying the view ,Ocean view,Very Important,I come twice a week
3/1/2024 15:19:41,Real Estate Development,Freshman,"Resting/relax, Lunch/eating",Yes,Provides what it needs to,This space is put together brilliantly and the ocean view is amazing. There are areas to feel the sun and areas that are shaded so everyone can find a comfortable place to sit.,Ocean view,Very Important,I usually walk from my class in Mandeville or from my dorm in Roosevelt. From Mandeville it’s about six minutes and from my dorm it’s about ten minutes. I come here every other week.
3/1/2024 15:20:36,Public Health ,Sophomore,Doing work/meetings,Yes,Provides what it needs to,More shade like large umbrellas ,Ocean view,Very Important,Two blocks 
3/1/2024 15:20:58,Mechanical Engineering,Senior,"Resting/relax, Lunch/eating",Yes,Provides what it needs to,I think it’s perfect,"Green space (plants, greenery)",Very Important,"Not far, I have a class in the building "
3/1/2024 15:22:01,Molecular and Cell Bio,Junior,Resting/relax,Yes,Adequate area,No comment,Ocean view,Important,"I only come when I’m already on campus, about once a week "
3/1/2024 15:22:28,Human biology ,Freshman,"Waiting for class to start, Doing work/meetings, Lunch/eating",Study rooms,Could use improvement,I think it could provide outlets to charge ,Ocean view,Important,I do not usually come here. I came from Revelle to study here
3/1/2024 15:23:16,Mechanical engineering ,Junior,"Resting/relax, Lunch/eating, Socializing",Library,Adequate area,Good view/ a lot of seating ,Ocean view,Very Important,I walked here. I come here every month or so
